#OTU ID,OR-T0-1,OR-T0-2,OR-T0-3,OR-T11-1,OR-T11-2,OR-T11-3,OR-T24-1,OR-T24-2,OR-T24-3,OR-T30-1,OR-T30-2,OR-T30-3,VA-T0-1,VA-T0-2,VA-T0-3,VA-T11-1,VA-T11-2,VA-T11-3,VA-T24-1,VA-T24-2,VA-T24-3,VA-T30-1,VA-T30-2,VA-T30-3,WW-T0-1,WW-T0-2,WW-T0-3,WW-T11-1,WW-T11-2,WW-T11-3,WW-T24-1,WW-T24-2,WW-T24-3,WW-T30-1,WW-T30-2,WW-T30-3
Zotu1030,6,26,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,2,11,5,1,0,0,0,0,0,0,0,0,0,2,3,2,39
Zotu1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,15,8,17,3,35
Zotu1032,1,1,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,1,0,24,14,13,0,3,6,7,1,2,12,2,31
Zotu1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,41,1,0,0,0,0,0,0,0,0
Zotu1034,6,12,5,0,0,0,0,0,0,0,0,0,34,81,24,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Zotu1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,1,16,81,5,6,12,9
Zotu1036,34,19,89,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1037,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,43,23,0,2,0,0,0,0,0,0,0
Zotu1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,32,34,0,0,0,0,0,1,0,0,0
Zotu1039,0,0,1,0,1,2,1,2,1,0,0,0,0,0,0,3,0,1,28,2,19,43,4,16,0,0,0,0,0,0,1,0,0,0,0,0
Zotu104,1,2,0,6,1,0,0,0,0,0,0,0,6,2,6,18,19,12,3,9,43,0,2,81,0,0,0,8,10,5,846,679,716,629,211,492
Zotu1040,25,2,48,0,0,0,0,0,0,0,0,0,21,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,5,4,0,1,3,1,5,7,2,14,20,38
Zotu1042,25,77,4,2,8,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,8,5,13,35,59
Zotu1044,1,0,0,10,2,2,0,1,0,0,1,0,13,3,5,10,5,12,0,0,5,0,0,4,1,0,1,8,13,5,0,1,0,8,2,1
Zotu1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,1,3
Zotu1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,52,14,0,6,1,5,13,7,1,0,0,0,1,0,0,0,0,0,0,0
Zotu1047,5,8,6,0,0,0,0,0,0,0,0,0,46,34,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,11,0,0,34,34,0
Zotu1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,31,41,0,0,0,0,0,0,0,0,0
Zotu105,1,0,0,14,11,7,7,23,30,3,3,21,2,0,0,3,5,32,9,11,1589,1,10,1794,0,0,0,0,0,2,6,1,4,3,1,1
Zotu1050,14,6,2,0,0,0,0,0,0,0,0,0,11,4,16,18,1,2,1,0,2,0,0,0,5,13,15,0,0,1,0,0,0,0,0,0
Zotu1051,47,45,49,0,0,0,0,0,0,0,0,0,6,10,10,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
Zotu1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,42,1,9,4,0,0,0,0,0,0
Zotu1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,22,31,1,0,1,0,0,0,2,0,0
Zotu1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,38,1,0,0,0,0,0,0,1,0
Zotu1055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,12,40,7,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1056,27,3,62,0,0,0,0,0,0,0,0,0,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1057,0,0,0,105,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu1058,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,49,3,2,13,31,0,0,4,0,0,0,0,0
Zotu1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,31,1,1,4,0,0,0,0,0,0
Zotu106,1260,1818,368,7,6,2,0,0,0,0,0,0,30,98,98,0,0,0,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0
Zotu1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,32,36,0,1,2,0,0,0,1,1,0
Zotu1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,33,1,2,2,0,0,0,0,0,0
Zotu1062,4,4,0,13,4,9,3,1,8,17,2,6,0,0,0,2,1,5,7,0,12,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1063,1,1,3,6,1,11,1,0,22,0,0,29,1,0,2,4,11,1,7,1,0,2,1,0,4,10,4,2,8,3,2,5,0,1,0,2
Zotu1064,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,19,33,1,1,2,1,0,0,0,0,0
Zotu1065,0,0,0,0,0,0,0,0,0,0,0,0,26,34,33,6,2,1,0,0,0,0,0,0,5,3,1,1,7,0,0,1,0,0,0,0
Zotu1066,4,5,9,1,1,2,0,0,0,0,0,0,1,0,5,72,36,29,0,0,0,0,0,0,1,2,3,0,11,3,0,0,0,0,0,0
Zotu1067,0,0,0,15,18,21,8,32,19,4,9,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,39,18,0,3,0,0,0,0,1,0,0
Zotu1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,25,1,1,0,0,0,0,0,0,0
Zotu107,0,3,2,0,1,1,0,2,0,0,0,0,252,393,217,54,46,2646,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
Zotu1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0,0
Zotu1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,30,25,0,6,1,1,0,0,1,0,0
Zotu1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,15,1,5,2,2,0,0,1,2,0
Zotu1073,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0,30,20,14,1,2,0,4,0,0,2,17,24
Zotu1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,37,44,0,0,0,0,0,0,0,0,0
Zotu1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,20,0,5,70,2
Zotu1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33,22,1,1,0,0,1,0,0,0,0
Zotu1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,11,77
Zotu1078,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,50,22,17,0,2,2,0,0,0,2,0,0
Zotu1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,33,0,0,0,0,0,0,0,0,0
Zotu108,0,0,0,1,0,27,0,0,31,0,0,21,1,2,4,55,37,67,30,89,1045,17,56,1775,0,1,2,1,0,0,15,6,5,40,7,26
Zotu1080,19,43,31,1,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,42,16,0,0,0,0,0,0,0,0,1
Zotu1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,48,23,14,6,6,2,1,0,0,2,1,6
Zotu1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,17,1,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1084,16,59,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,53,1,2,0,0,0,0,0,0,1,0,0,1,0
Zotu1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,31,31,0,0,0,0,0,0,0,0,0
Zotu1087,2,11,1,0,13,41,0,0,2,0,0,1,7,8,0,8,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Zotu1088,0,0,0,0,0,0,0,0,0,0,0,0,45,30,25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Zotu1089,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,34,26,0,1,1,1,0,0,0,0,0
Zotu109,357,65,484,1,0,0,0,0,0,0,0,0,27,60,5,0,0,0,1,1,0,0,0,0,1,0,0,361,886,96,897,15,6,26,2,0
Zotu1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,24,2,2,1,0,0,0,0,0,0
Zotu1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,36,0,0,1,0,0,0,0,0,1
Zotu1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80,7,0,1,0
Zotu1093,0,0,0,0,0,0,0,0,0,0,0,0,18,68,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1094,2,24,9,2,34,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37,24,0,2,1,0,0,0,2,2,0
Zotu1096,1,0,0,0,0,0,0,0,0,0,0,0,14,4,44,0,41,1,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0
Zotu1097,0,0,0,29,12,15,17,4,10,2,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1098,0,0,0,14,0,0,18,0,0,7,0,2,0,0,0,0,7,0,0,3,0,0,7,0,0,0,0,0,0,0,42,33,18,38,50,67
Zotu1099,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,36,20,30,0,0,0,0,0,0,0,0,0
Zotu11,877,404,1034,11,3,31,1,2,2,1,2,0,4489,5888,8391,1057,1782,1083,201,71,50,27,30,13,95,59,52,21,31,28,13,20,1,8,1,4
Zotu110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,894,984,1097,47,104,73,1,0,0,0,0,1
Zotu1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,5,25,8,4,49,0,0,0,0,0,0,1,0,0,1,1,8
Zotu1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,4,1,1,0,11,5,1,17,10,15
Zotu1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,5,5,1,13,19,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1103,3,4,2,20,15,8,3,7,2,4,3,4,8,7,0,3,2,0,1,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,22,21,0,0,2,0,0,0,0,0,0
Zotu1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,10,17,2,1,14,69
