OTU,p,c,o,f,g,summay
Zotu1029,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bdellovibrionaceae g:Bdellovibrio
Zotu103,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Hymenobacter,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Hymenobacter
Zotu1030,p:Armatimonadetes,g:Armatimonadetes_gp5,,,,p:Armatimonadetes g:Armatimonadetes_gp5   
Zotu1031,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bdellovibrionaceae,g:Bdellovibrio,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bdellovibrionaceae g:Bdellovibrio
Zotu1032,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Mycobacteriaceae,g:Mycobacterium,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Mycobacteriaceae g:Mycobacterium
Zotu1033,,,,,,    
Zotu1034,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1035,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Pseudacidovorax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Pseudacidovorax
Zotu1036,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1037,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu1038,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rickettsiales  
Zotu1039,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu104,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu1040,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Cryomorphaceae,,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Cryomorphaceae "
Zotu1041,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseomonas,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Acetobacteraceae g:Roseomonas
Zotu1042,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae 
Zotu1043,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Microbacteriaceae,,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Microbacteriaceae 
Zotu1044,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1045,,,,,,    
Zotu1046,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,p:Proteobacteria c:Gammaproteobacteria o:Legionellales f:Legionellaceae g:Legionella
Zotu1047,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Polaromonas,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Polaromonas
Zotu1048,p:SR1,g:SR1_genera_incertae_sedis,,,,p:SR1 g:SR1_genera_incertae_sedis   
Zotu1049,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""",f:Bacteroidaceae,g:Bacteroides,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:Bacteroidaceae g:Bacteroides"
Zotu105,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,g:Methylophilus,p:Proteobacteria c:Betaproteobacteria o:Methylophilales f:Methylophilaceae g:Methylophilus
Zotu1050,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu1051,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1052,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1053,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu1054,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu1055,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,,,p:Planctomycetes c:Planctomycetia o:Planctomycetales  
Zotu1056,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Cryomorphaceae,g:Fluviicola,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Cryomorphaceae g:Fluviicola"
Zotu1057,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Azospirillum,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Rhodospirillaceae g:Azospirillum
Zotu1058,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu1059,,,,,,    
Zotu106,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1060,p:Acidobacteria,c:Acidobacteria_Gp4,,,,p:Acidobacteria c:Acidobacteria_Gp4   
Zotu1061,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu1062,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,,,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales  
Zotu1063,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1064,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu1065,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:Rhodobacter,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae g:Rhodobacter
Zotu1066,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1067,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu1068,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,,p:Proteobacteria c:Gammaproteobacteria o:Xanthomonadales f:Xanthomonadaceae 
Zotu1069,p:SR1,g:SR1_genera_incertae_sedis,,,,p:SR1 g:SR1_genera_incertae_sedis   
Zotu107,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiaceae,g:Polynucleobacter,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Burkholderiaceae g:Polynucleobacter
Zotu1070,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,p:Proteobacteria c:Gammaproteobacteria o:Legionellales f:Legionellaceae g:Legionella
Zotu1071,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,,,p:Proteobacteria c:Gammaproteobacteria o:Xanthomonadales  
Zotu1072,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae 
Zotu1073,p:Proteobacteria,c:Betaproteobacteria,o:Neisseriales,f:Neisseriaceae,g:Rivicola,p:Proteobacteria c:Betaproteobacteria o:Neisseriales f:Neisseriaceae g:Rivicola
Zotu1074,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1075,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Sulfurospirillum,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae g:Sulfurospirillum
Zotu1076,p:Verrucomicrobia,c:Opitutae,o:Opitutales,f:Opitutaceae,g:Opitutus,p:Verrucomicrobia c:Opitutae o:Opitutales f:Opitutaceae g:Opitutus
Zotu1077,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,g:Ohtaekwangia,,p:Bacteroidetes c:Cytophagia o:Cytophagales g:Ohtaekwangia 
Zotu1078,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae 
Zotu1079,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Arcobacter,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae g:Arcobacter
Zotu108,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,g:Methylophilus,p:Proteobacteria c:Betaproteobacteria o:Methylophilales f:Methylophilaceae g:Methylophilus
Zotu1080,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu1081,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae g:Sphingobium
Zotu1082,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Zoogloea,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Zoogloea
Zotu1083,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Runella,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Runella
Zotu1084,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu1085,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,p:Proteobacteria c:Gammaproteobacteria o:Legionellales f:Legionellaceae g:Legionella
Zotu1086,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae 
Zotu1087,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Lacihabitans,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Lacihabitans
Zotu1088,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu1089,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae 
Zotu109,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu1090,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1091,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,,,p:Actinobacteria c:Actinobacteria o:Actinomycetales  
Zotu1092,p:Cyanobacteria/Chloroplast,c:Chloroplast,f:Chloroplast,g:Cryptomonadaceae,,p:Cyanobacteria/Chloroplast c:Chloroplast f:Chloroplast g:Cryptomonadaceae 
Zotu1093,p:Actinobacteria,c:Actinobacteria,o:Acidimicrobiales,,,p:Actinobacteria c:Actinobacteria o:Acidimicrobiales  
Zotu1094,p:Planctomycetes,,,,,p:Planctomycetes    
Zotu1095,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu1096,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
