OTU,p,c,o,f,g,summay
Zotu1416,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Arcobacter,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae g:Arcobacter
Zotu1417,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1418,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1419,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu142,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Caulobacter,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Caulobacter
Zotu1420,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Janthinobacterium,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Janthinobacterium
Zotu1421,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Duganella,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Duganella
Zotu1422,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Carnobacteriaceae,g:Trichococcus,p:Firmicutes c:Bacilli o:Lactobacillales f:Carnobacteriaceae g:Trichococcus
Zotu1423,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1424,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1425,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1426,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1427,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1428,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1429,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu143,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Brevundimonas
Zotu1430,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu1431,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1432,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""","f:""Prevotellaceae""",g:Prevotella,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:""Prevotellaceae"" g:Prevotella"
Zotu1433,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu1434,p:Acidobacteria,c:Acidobacteria_Gp3,g:Paludibaculum,,,p:Acidobacteria c:Acidobacteria_Gp3 g:Paludibaculum  
Zotu1435,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Terrimonas,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Terrimonas"
Zotu1436,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1437,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae 
Zotu1438,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Ferruginibacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Ferruginibacter"
Zotu1439,p:Proteobacteria,c:Gammaproteobacteria,o:Aeromonadales,f:Aeromonadaceae,g:Aeromonas,p:Proteobacteria c:Gammaproteobacteria o:Aeromonadales f:Aeromonadaceae g:Aeromonas
Zotu144,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Arcicella,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Arcicella
Zotu1440,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,,,p:Proteobacteria c:Deltaproteobacteria o:Myxococcales  
Zotu1441,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
Zotu1442,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,,p:Proteobacteria c:Betaproteobacteria o:Methylophilales f:Methylophilaceae 
Zotu1443,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu1444,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu1445,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Dechloromonas,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Dechloromonas
Zotu1446,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu1447,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,,,p:Bacteroidetes c:Cytophagia o:Cytophagales  
Zotu1448,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Kaistia,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Rhizobiaceae g:Kaistia
Zotu1449,p:Actinobacteria,c:Actinobacteria,,,,p:Actinobacteria c:Actinobacteria   
Zotu145,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu1450,p:Verrucomicrobia,c:Subdivision3,g:Subdivision3_genera_incertae_sedis,,,p:Verrucomicrobia c:Subdivision3 g:Subdivision3_genera_incertae_sedis  
Zotu1451,p:Actinobacteria,c:Actinobacteria,o:Solirubrobacterales,,,p:Actinobacteria c:Actinobacteria o:Solirubrobacterales  
Zotu1452,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiales_incertae_sedis,g:Aquabacterium,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Burkholderiales_incertae_sedis g:Aquabacterium
Zotu1453,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rickettsiales  
Zotu1454,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Insolitispirillum,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Rhodospirillaceae g:Insolitispirillum
Zotu1455,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Flectobacillus,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Flectobacillus
Zotu1456,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Duganella,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Duganella
Zotu1457,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1458,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1459,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Bradyrhizobiaceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Bradyrhizobiaceae 
Zotu146,,,,,,    
Zotu1460,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae 
Zotu1461,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae 
Zotu1462,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1463,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,p:Proteobacteria c:Gammaproteobacteria o:Legionellales f:Legionellaceae g:Legionella
Zotu1464,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Microbacteriaceae,g:Rhodoluna,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Microbacteriaceae g:Rhodoluna
Zotu1465,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1466,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1467,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Massilia
Zotu1468,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1469,,,,,,    
Zotu147,p:Proteobacteria,c:Gammaproteobacteria,o:Chromatiales,f:Chromatiaceae,g:Rheinheimera,p:Proteobacteria c:Gammaproteobacteria o:Chromatiales f:Chromatiaceae g:Rheinheimera
Zotu1470,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Caulobacter,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Caulobacter
Zotu1471,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,,,p:Actinobacteria c:Actinobacteria o:Actinomycetales  
Zotu1472,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1473,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Mycobacteriaceae,g:Mycobacterium,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Mycobacteriaceae g:Mycobacterium
Zotu1474,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu1475,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae 
Zotu1476,,,,,,    
Zotu1477,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu1478,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1479,p:Verrucomicrobia,,,,,p:Verrucomicrobia    
Zotu148,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1480,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1481,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1482,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1483,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bacteriovoracaceae,g:Bacteriovorax,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bacteriovoracaceae g:Bacteriovorax
Zotu1484,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1485,p:Chlamydiae,c:Chlamydiia,o:Chlamydiales,f:Parachlamydiaceae,,p:Chlamydiae c:Chlamydiia o:Chlamydiales f:Parachlamydiaceae 
Zotu1486,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu1487,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1488,p:Proteobacteria,c:Deltaproteobacteria,o:Desulfovibrionales,f:Desulfovibrionaceae,g:Desulfovibrio,p:Proteobacteria c:Deltaproteobacteria o:Desulfovibrionales f:Desulfovibrionaceae g:Desulfovibrio
Zotu1489,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu149,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae 
Zotu1490,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Acidovorax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Acidovorax
Zotu1491,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Cloacibacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Cloacibacterium"
Zotu1492,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Propionibacteriaceae,g:Propionibacterium,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Propionibacteriaceae g:Propionibacterium
Zotu1493,,,,,,    
Zotu1494,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae 
Zotu1495,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu1496,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Caulobacter,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Caulobacter
Zotu1497,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1498,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae 
Zotu1499,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu15,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Limnohabitans,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Limnohabitans
Zotu150,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu1500,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu1501,p:Chlamydiae,c:Chlamydiia,o:Chlamydiales,f:Parachlamydiaceae,,p:Chlamydiae c:Chlamydiia o:Chlamydiales f:Parachlamydiaceae 
Zotu1502,p:Actinobacteria,c:Actinobacteria,o:Acidimicrobiales,f:Iamiaceae,g:Aquihabitans,p:Actinobacteria c:Actinobacteria o:Acidimicrobiales f:Iamiaceae g:Aquihabitans
Zotu1503,p:Bacteroidetes,c:Sphingobacteriia,,,,p:Bacteroidetes c:Sphingobacteriia   
Zotu1504,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1505,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu1506,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu1507,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
Zotu1508,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bacteriovoracaceae,g:Bacteriovorax,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bacteriovoracaceae g:Bacteriovorax
Zotu1509,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu151,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1510,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1511,p:Proteobacteria,c:Gammaproteobacteria,o:Aeromonadales,f:Aeromonadaceae,g:Aeromonas,p:Proteobacteria c:Gammaproteobacteria o:Aeromonadales f:Aeromonadaceae g:Aeromonas
Zotu1512,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu1513,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1514,p:Actinobacteria,c:Actinobacteria,o:Acidimicrobiales,,,p:Actinobacteria c:Actinobacteria o:Acidimicrobiales  
Zotu1515,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Dyadobacter,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Dyadobacter
Zotu1516,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Phenylobacterium,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Phenylobacterium
Zotu1517,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""",f:Bacteroidaceae,g:Bacteroides,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:Bacteroidaceae g:Bacteroides"
Zotu1518,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1519,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Dyadobacter,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Dyadobacter
Zotu152,p:Cyanobacteria/Chloroplast,,,,,p:Cyanobacteria/Chloroplast    
Zotu1520,p:Verrucomicrobia,,,,,p:Verrucomicrobia    
Zotu1521,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Brevundimonas
Zotu1522,p:Proteobacteria,c:Deltaproteobacteria,,,,p:Proteobacteria c:Deltaproteobacteria   
Zotu1523,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1524,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Asticcacaulis,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Asticcacaulis
Zotu1525,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1526,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,,,p:Actinobacteria c:Actinobacteria o:Actinomycetales  
Zotu1527,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,p:Proteobacteria c:Gammaproteobacteria o:Legionellales f:Legionellaceae g:Legionella
Zotu1528,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu1529,p:Verrucomicrobia,,,,,p:Verrucomicrobia    
Zotu153,p:Proteobacteria,c:Deltaproteobacteria,,,,p:Proteobacteria c:Deltaproteobacteria   
Zotu1530,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu1531,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Asticcacaulis,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Asticcacaulis
Zotu1532,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Sulfuritalea,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Sulfuritalea
Zotu1533,,,,,,    
Zotu1534,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""","f:""Rikenellaceae""",g:Alistipes,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:""Rikenellaceae"" g:Alistipes"
Zotu1535,,,,,,    
Zotu1536,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Chryseobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Chryseobacterium"
Zotu1537,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1538,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1539,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,,,p:Actinobacteria c:Actinobacteria o:Actinomycetales  
Zotu154,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae 
Zotu1540,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu1541,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Intrasporangiaceae,,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Intrasporangiaceae 
Zotu1542,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,,,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales  
Zotu1543,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1544,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1545,p:Verrucomicrobia,c:Opitutae,o:Opitutales,f:Opitutaceae,g:Opitutus,p:Verrucomicrobia c:Opitutae o:Opitutales f:Opitutaceae g:Opitutus
Zotu1546,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1547,p:Bacteroidetes,"c:""Bacteroidia""","o:""Bacteroidales""","f:""Porphyromonadaceae""",g:Paludibacter,"p:Bacteroidetes c:""Bacteroidia"" o:""Bacteroidales"" f:""Porphyromonadaceae"" g:Paludibacter"
Zotu1548,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1549,,,,,,    
Zotu155,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1550,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae 
Zotu1551,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1552,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu1553,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,,,p:Proteobacteria c:Deltaproteobacteria o:Myxococcales  
Zotu1554,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiaceae,g:Polynucleobacter,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Burkholderiaceae g:Polynucleobacter
Zotu1555,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Terrimonas,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Terrimonas"
Zotu1556,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Microbacteriaceae,,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Microbacteriaceae 
Zotu1557,,,,,,    
Zotu1558,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1559,,,,,,    
Zotu156,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Limnohabitans,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Limnohabitans
Zotu1560,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1561,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,,p:Proteobacteria c:Gammaproteobacteria o:Xanthomonadales f:Xanthomonadaceae 
Zotu1562,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
